# Server version 0.08 running on George_y410p:8123
# Game ID: 788
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Sun Apr 06 00:31:41 PDT 2014
# Player 1: Player-0, 's260401458', running on George_y410p
# Player 2: Player-1, 'sSingMovePlayer', running on George_y410p
# Player 3: Player-2, 'sSingMovePlayer', running on George_y410p
# Player 4: Player-3, 'sSingMovePlayer', running on George_y410p
START Player-0 s260401458
START Player-1 sSingMovePlayer
START Player-2 sSingMovePlayer
START Player-3 sSingMovePlayer
0 (2,2) (3,3)
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (14,0) (12,2)
1 (12,2) (14,4)
1 null null
2 (1,13) (3,11)
2 null null
3 (13,13) (11,11)
3 null null
0 (4,4) (5,5)
1 (15,3) (13,5)
1 null null
2 (2,12) (4,10)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (2,0) (0,0)
0 (0,0) (2,2)
0 (2,2) (4,4)
0 (4,4) (6,6)
0 null null
1 (14,4) (12,6)
1 null null
2 (2,15) (4,13)
2 null null
3 (12,12) (10,10)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,3)
0 null null
1 (14,1) (12,3)
1 null null
2 (1,15) (3,13)
2 (3,13) (5,13)
2 null null
3 (11,11) (9,9)
3 null null
0 (1,0) (3,2)
0 (3,2) (5,4)
0 (5,4) (5,6)
0 (5,6) (7,6)
0 null null
1 (13,2) (11,4)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 (4,11) (4,9)
2 null null
3 (10,10) (8,8)
3 null null
0 (1,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (5,4)
0 (5,4) (5,6)
0 null null
1 (13,0) (11,2)
1 (11,2) (13,4)
1 (13,4) (13,6)
1 (13,6) (11,6)
1 null null
2 (3,14) (5,12)
2 null null
3 (9,9) (7,7)
3 (7,7) (7,5)
3 (7,5) (5,7)
3 null null
0 (5,5) (7,7)
0 (7,7) (9,9)
0 null null
1 (12,3) (10,5)
1 null null
2 (4,13) (6,11)
2 null null
3 (15,14) (13,12)
3 null null
0 (3,0) (3,2)
0 (3,2) (5,4)
0 null null
1 (11,4) (9,6)
1 null null
2 (5,12) (7,10)
2 null null
3 (13,15) (11,13)
3 null null
0 (4,3) (6,5)
0 (6,5) (8,7)
0 (8,7) (8,9)
0 (8,9) (10,9)
0 null null
1 (10,5) (8,7)
1 (8,7) (8,9)
1 null null
2 (7,10) (9,8)
2 null null
3 (12,14) (10,12)
3 (10,12) (10,10)
3 (10,10) (10,8)
3 null null
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 (6,5) (8,7)
0 null null
1 (9,6) (7,8)
1 (7,8) (9,10)
1 (9,10) (7,8)
1 null null
2 (3,11) (5,9)
2 null null
3 (15,13) (13,11)
3 null null
0 (5,6) (5,8)
0 (5,8) (5,10)
0 (5,10) (7,12)
0 null null
1 (13,5) (11,7)
1 null null
2 (4,10) (6,8)
2 null null
3 (14,12) (12,10)
3 null null
0 (6,6) (4,8)
0 (4,8) (6,10)
0 (6,10) (6,12)
0 (6,12) (8,12)
0 null null
1 (15,2) (13,4)
1 null null
2 (1,14) (3,12)
2 null null
3 (13,11) (11,9)
3 (11,9) (9,7)
3 (9,7) (7,7)
3 (7,7) (7,5)
3 null null
0 (9,9) (11,9)
0 (11,9) (13,11)
0 (13,11) (13,13)
0 (13,13) (15,13)
0 null null
1 (14,3) (12,5)
1 (12,5) (10,7)
1 null null
2 (2,13) (4,11)
2 null null
3 (14,13) (12,11)
3 (12,11) (12,9)
3 null null
