# Server version 0.08 running on 142.157.148.33:8123
# Game ID: 592
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Sat Apr 05 12:41:04 PDT 2014
# Player 1: Player-0, 's260401458', running on 142.157.148.33
# Player 2: Player-1, 'sSingMovePlayer', running on 142.157.148.33
# Player 3: Player-2, 'sSingMovePlayer', running on 142.157.148.33
# Player 4: Player-3, 'sSingMovePlayer', running on 142.157.148.33
START Player-0 s260401458
START Player-1 sSingMovePlayer
START Player-2 sSingMovePlayer
START Player-3 sSingMovePlayer
0 (2,2) (3,3)
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (0,0) (2,2)
0 null null
1 (14,0) (12,2)
1 (12,2) (14,4)
1 (14,4) (12,2)
1 null null
2 (1,13) (3,11)
2 null null
3 (13,13) (11,11)
3 null null
0 (2,2) (4,4)
0 null null
1 (14,1) (12,3)
1 null null
2 (2,12) (4,10)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (1,2) (2,3)
1 (13,2) (11,4)
1 null null
2 (2,15) (4,13)
2 null null
3 (12,12) (10,10)
3 null null
0 (0,1) (1,2)
1 (13,0) (11,2)
1 (11,2) (13,4)
1 null null
2 (1,15) (3,13)
2 (3,13) (5,13)
2 null null
3 (11,11) (9,9)
3 null null
0 (1,2) (3,4)
0 null null
1 (14,3) (12,5)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 (4,11) (4,9)
2 null null
3 (10,10) (8,8)
3 null null
GAMEOVER TIMEOUT Player-0
WINNER Player-1
# Game ended: Sat Apr 05 12:41:09 PDT 2014
