# Server version 0.08 running on George_y410p:8123
# Game ID: 856
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Thu Apr 10 22:20:59 PDT 2014
# Player 1: Player-0, 's260401458', running on George_y410p
# Player 2: Player-1, 's260401458', running on George_y410p
# Player 3: Player-2, 's260401458', running on George_y410p
# Player 4: Player-3, 's260401458', running on George_y410p
START Player-0 s260401458
START Player-1 s260401458
START Player-2 s260401458
START Player-3 s260401458
0 (0,1) (2,3)
0 null null
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (1,3) (3,3)
0 null null
1 (12,1) (11,2)
2 (1,14) (3,12)
2 null null
3 (14,13) (13,12)
0 (3,1) (4,2)
1 (14,2) (12,4)
1 null null
2 (2,14) (3,13)
3 (13,14) (12,13)
0 (0,2) (1,3)
1 (12,0) (11,1)
2 (3,14) (4,13)
3 (14,12) (13,11)
0 (1,3) (2,4)
1 (13,1) (12,2)
2 (0,13) (2,11)
2 null null
3 (12,15) (11,14)
0 (1,1) (3,1)
0 (3,1) (5,3)
0 null null
1 (15,2) (13,4)
1 null null
2 (0,12) (1,11)
3 (15,13) (14,12)
0 (2,1) (3,2)
1 (13,0) (12,1)
2 (1,15) (2,14)
3 (14,12) (12,10)
3 null null
0 (1,0) (2,1)
1 (12,1) (10,3)
1 null null
2 (2,14) (4,12)
2 null null
3 (15,12) (14,11)
0 (2,1) (4,3)
0 null null
1 (14,1) (12,3)
1 null null
2 (2,15) (3,14)
3 (12,14) (11,13)
0 (2,0) (3,1)
1 (15,3) (14,4)
2 (3,14) (5,12)
2 null null
3 (13,15) (12,14)
0 (3,1) (4,1)
1 (14,0) (13,1)
2 (3,15) (4,14)
3 (12,14) (10,12)
3 null null
0 (3,0) (5,2)
0 null null
1 (13,1) (11,3)
1 null null
2 (1,12) (3,10)
2 null null
3 (15,14) (14,13)
0 (0,3) (1,4)
1 (13,2) (11,4)
1 null null
2 (1,13) (3,11)
2 null null
3 (14,13) (12,11)
3 null null
0 (1,2) (3,4)
0 null null
1 (14,3) (12,5)
1 null null
2 (2,13) (4,11)
2 null null
3 (14,15) (13,14)
0 (2,2) (4,4)
0 null null
1 (15,0) (14,1)
2 (0,15) (1,14)
3 (13,14) (11,12)
3 null null
0 (0,0) (1,1)
1 (14,1) (13,2)
2 (1,14) (2,13)
3 (13,13) (11,11)
3 null null
0 (1,1) (2,2)
1 (13,2) (14,3)
2 (2,13) (3,14)
3 (15,15) (14,14)
0 (2,2) (3,1)
1 (14,3) (14,5)
1 null null
2 (3,14) (5,14)
2 null null
3 (14,14) (13,13)
0 (3,1) (5,1)
0 null null
1 (12,2) (10,2)
1 (10,2) (10,4)
1 null null
2 (4,13) (6,11)
2 null null
3 (13,13) (14,12)
0 (4,2) (6,4)
0 null null
1 (11,3) (9,5)
1 null null
2 (3,13) (5,15)
2 (5,15) (5,13)
2 (5,13) (5,11)
2 (5,11) (7,11)
2 null null
3 (14,12) (14,10)
3 null null
0 (3,2) (5,4)
0 (5,4) (7,4)
0 null null
1 (11,2) (11,0)
1 (11,0) (11,2)
1 (11,2) (9,4)
1 (9,4) (9,6)
1 null null
2 (4,12) (6,12)
2 (6,12) (8,10)
2 null null
3 (11,13) (13,13)
3 (13,13) (11,13)
GAMEOVER ILLEGAL MOVE: Player 3 move from (N,14) to (N,12)
WINNER Player-1
# Game ended: Thu Apr 10 22:21:00 PDT 2014
